final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
aplidium californicum; aplidium solidum,aplidium californicum; aplidium solidum,point contact,103471,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NULL,3,Aplidium spp,103471
aplidium spp,aplidium spp,point contact,103471,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,NULL,5,Aplidium spp,103471
aplysia californica,aplysia californica,quadrat,240765,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,Aplysia californica,2,Aplysia californica,240765
aplysia vaccaria,aplysia vaccaria,quadrat,568031,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,Aplysia vaccaria,3,Aplysia vaccaria,568031
aplysilla glacialis,aplysilla glacialis,point contact,132295,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla,Aplysilla glacialis,3,Aplysilla glacialis,132295
aplysilla rosea,aplysilla rosea,point contact,132296,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla,Aplysilla rosea,4,Aplysilla rosea,132296
aplysina fistularis,aplysina fistularis,point contact,169648,World Register of Marine Species:  www.marinespecies.org,Animalia,Porifera,Demospongiae,Verongiida,Aplysinidae,Aplysina,Aplysina fistularis,4,Aplysina fistularis,169648
apostichopus californicus,parastichopus californicus,quadrat,529363,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,Apostichopus californicus,4,Apostichopus californicus,529363
archidistoma spp,archidistoma spp,NA,103452,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Archidistoma,NULL,5,Archidistoma spp,103452
articulated corallines,articulated corallines,point contact,143691,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,NULL,NULL,5,DROP,NA
